"notation","title","description","id","title_en","description_en"
"I ","Anforderungsbereich I","Verfügbarkeit der für die Bearbeitung der Aufgaben notwendigen inhaltlichen und methodischen Kenntnisse.","a9h",,
"I 1","Die Leistungen umfassen im Anforderungsbereich I:","","f3u",,
"I 1.1","die sich aus der Aufgabe, dem Material oder der Problemstellung ergebenden Arbeitsaufträge identifizieren","","s4c",,
"I 1.2","das der Aufgabenstellung oder dem Material zugrundeliegende Thema erfassen","","b7h",,
"I 1.3","den Text- bzw. Materialinhalt geordnet wiedergeben","","f2u",,
"I 1.4","die eigenen Kenntnisse mit dem Thema, dem Hauptgedanken, der Problemstellung verbinden","","y9g",,
"I 1.5","über die dem Thema, dem Bereich entsprechenden Fachbegriffe verfügen","","c3y",,
"I 1.6","die der Aufgabe entsprechende(n) Schreibform(en) benutzen","","d6p",,
"I 1.7","die der Aufgabenstellung entsprechenden geübten Methoden und Arbeitstechniken anwenden","","z2q",,
"I 2","zusätzliche Anforderungen an die mündliche Darstellung","","g6e",,
"I 2.1","in der Standardsprache sprechen, vortragen beim Sprechen, Vortrag auch Betonung, Lautstärke, Tempo/Pausen, Stimmhebung und -senkung und Medien nutzen","","c3g",,
"II ","Anforderungsbereich II","Selbständiges Erfassen, Einordnen, Strukturieren und Verarbeiten der aus der Thematik, dem Material und der Aufgabenstellung erwachsenden Fragen/Probleme und deren entsprechende gedankliche und sprachliche Bearbeitung.","e7y",,
"II 1","Die Leistungen umfassen im Anforderungsbereich II:","","u2r",,
"II 1.1","einen längeren oder einen komplexen Text bzw. Materialinhalt in eigenständiger Formulierung wiedergeben oder zusammenfassen","","u9h",,
"II 1.2","die Hauptgedanken eines Textes und seine Argumentation differenziert erfassen","","f6a",,
"II 1.3","Bezüge in Texten bzw. Materialien erkennen, um Aussagen zu erfassen","","z4a",,
"II 1.4","poetische/stilistische/rhetorische Mittel in einem Text erkennen, beschreiben und untersuchen","","c9u",,
"II 1.5","inhaltliche und methodische Kenntnisse auf unbekannte Sachverhalte sinnvoll beziehen","","h2s",,
"II 1.6","die eigenen Ausführungen gedanklich strukturiert sowie inhaltlich klar und differenziert darstellen","","v4x",,
"II 2","zusätzliche Anforderungen an die mündliche Darstellung","","g3y",,
"II 2.1","einzelne Themen jeweils in geeigneten und unterschiedlichen Formen medial aufbereiten","","s9u",,
"II 2.2","den Vortrag weitgehend frei (vom Stichwortzettel gelöst) gestalten","","y2d",,
"II 2.3","auf eine differenzierte Wortwahl, insbesondere im Hinblick auf Fremdwörter und Fachbegriffe achten","","e6q",,
"II 2.4","nonverbale Gestaltungsmittel sachangemessen einsetzen und den Zuhörer damit verstärkt einbeziehen (Körperhaltung, Gestik, Mimik, Blickkontakt)","","q9f",,
"III ","Anforderungsbereich III","Eigenständige Reflexion, Bewertung bzw. Beurteilung einer komplexen Problemstellung/Thematik oder entsprechenden Materials und ggf. die Entwicklung eigener Lösungsansätze.","z2s",,
"III 1","Die Leistungen umfassen im Anforderungsbereich III:","","r2a",,
"III 1.1","komplexe, anspruchsvolle Texte, Problemstellungen, Materialien erfassen und bearbeiten","","q4b",,
"III 1.2","die Aussagen eines Textes, eine Problemstellung in weitere Zusammenhänge einordnen und entsprechend detailliert untersuchen","","t3t",,
"III 1.3","begründete Folgerungen aus der Text-, Material- oder Problembearbeitung ziehen und formulieren","","t7r",,
"III 1.4","Deutungsansätze poetischer/stilistischer/rhetorischer Mittel in einem Text entwickeln","","r5z",,
"III 1.5","spezielles Fachwissen nutzen","","g6v",,
"III 1.6","eigene Textproduktion originell und kreativ gestalten","","t9b",,
"III 1.7","einen eigenen Standpunkt begründet darstellen","","p9q",,
"III 1.8","dem Thema, der Gestaltung gemäße oder auch kontrastierende Darstellungsformen entwickeln","","c3c",,
"III 1.9","begründete Vermutungen formulieren","","h6b",,
"III 1.10","selbstständige Schlussfolgerungen entwickeln","","t9q",,
"III 1.11","kritische Bewertungen vornehmen","","x2u",,
"III 1.12","eigenständige Lösungsansätze entwickeln","","g9x",,
"III 1.13","Alternativen aufzeigen","","t4u",,
"III 1.14","begründete Urteile formulieren","","p4g",,
"III 1.15","das eigene Vorgehen kritisch untersuchen und beurteilen","","t3d",,
"III 1.16","eine eigenständige gedankliche und sprachliche Darstellung umsetzen","","r7p",,
"III 2","zusätzliche Anforderungen an die mündliche Darstellung","","p2q",,
"III 2.1","auf Verständnisfragen zum Thema sachkompetent antworten","","f9b",,
"III 2.2","das Gruppengespräch strukturieren (nachfragen, Denkanstöße geben, zielorientiert zusammenfassen)","","t3f",,
"III 2.3","aufmerksam zuhören und Äußerungen anderer einschätzen, aufgreifen und ggf. anerkennen","","c7c",,
